caminho,label,duracao,sample_rate,zcr,rms,spectral_centroid,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
dataset\direita\Ana_direita_0.wav,direita,1.2,16000,0.05662777549342105,0.06776331,1215.5463133892692,-321.71274,66.640884,11.045551,19.28975,-9.681356,0.7164627,-11.1238785,-7.0030155,-5.8803253,-2.0441723,-7.804176,-3.3225048,-5.2247252
dataset\direita\Ana_direita_1.wav,direita,1.2,16000,0.07786800986842106,0.08717165,1666.4041106911052,-269.46393,68.5871,19.040411,33.714203,-11.493127,-5.4862175,-21.41013,-7.856492,1.7589962,-11.515881,-1.5769386,-5.0530047,-3.4718266
dataset\direita\Ana_direita_10.wav,direita,1.2,16000,0.10203793174342106,0.057016548,1696.3995689525032,-236.45155,86.80898,1.787067,28.565321,-4.591389,8.187793,-6.982625,-12.494018,-3.2575393,-4.9863048,-18.440317,7.73901,-2.041771
dataset\direita\Ana_direita_11.wav,direita,1.2,16000,0.06549393503289473,0.056113813,1291.334895659265,-293.0266,82.15133,22.826624,12.477762,-4.21102,0.27182138,-18.012169,-2.843927,-5.641175,-11.344372,-2.2153127,-5.7717447,-1.2788999
dataset\direita\Ana_direita_12.wav,direita,1.2,16000,0.07601768092105263,0.043785397,1304.8202853653595,-328.31693,73.1419,12.235852,20.871048,-9.800035,-0.15953918,-17.714493,-4.207475,-11.870435,-3.6715286,-9.899334,1.6201168,-4.5029564
dataset\direita\Ana_direita_13.wav,direita,1.2,16000,0.07583778782894737,0.05071847,1335.1035399625507,-276.232,104.664024,5.17213,29.8804,0.661796,5.2945027,-10.744394,-7.4791446,-4.885731,-7.891262,-8.649512,2.7930481,-8.092006
dataset\direita\Ana_direita_14.wav,direita,1.2,16000,0.07483552631578948,0.035917457,1346.0654112747175,-296.20963,86.76309,9.8822975,23.57808,-3.21097,4.3551292,-11.11471,-9.66995,-8.184456,-4.4908533,-10.749223,3.6421316,-2.721153
dataset\direita\Ana_direita_15.wav,direita,1.2,16000,0.09978926809210527,0.055377897,1589.9680128599323,-269.4659,80.02517,17.201872,33.73727,-0.3999329,-5.4334474,-13.06266,-2.2969582,-12.949715,-2.2588975,-10.964455,-0.9341993,-3.3100524
dataset\direita\Ana_direita_16.wav,direita,1.2,16000,0.10780736019736842,0.041613065,1724.2077763933262,-286.58563,77.4823,13.339877,33.729435,-8.508155,-2.6964211,-5.6740837,-8.495729,-5.384104,-1.8826003,-9.322644,6.1959977,-3.948785
dataset\direita\Ana_direita_17.wav,direita,1.2,16000,0.06995271381578948,0.050786704,1292.718737337485,-278.0919,93.72448,18.982733,28.701065,3.8122463,-1.5170473,-18.04662,-2.5758576,-7.4629645,-5.388434,-4.678651,-3.5993383,-6.680019
dataset\direita\Ana_direita_18.wav,direita,1.2,16000,0.06546823601973684,0.039719295,1251.7055040662106,-303.61337,96.45148,5.9656973,29.154612,-0.9821224,-2.222184,-9.416181,-3.770901,-3.2470198,-5.8530893,-4.9863343,-0.40655985,-4.425796
dataset\direita\Ana_direita_19.wav,direita,1.2,16000,0.08177425986842106,0.06389174,1487.414362925042,-243.8326,90.198784,16.834906,39.58054,-0.770467,7.50535,-13.997559,-8.572214,-2.5320833,-2.7010868,-5.956498,-2.3187504,-2.5453727
dataset\direita\Ana_direita_2.wav,direita,1.2,16000,0.08977950246710527,0.12644248,1696.0851114691004,-245.646,48.280773,12.4662695,47.604866,-10.182397,-9.866115,-17.082224,-12.814864,-15.1880045,-12.768108,-5.0570273,-10.333612,-8.59156
dataset\direita\Ana_direita_20.wav,direita,1.2,16000,0.07606907894736842,0.063214056,1546.7244880025837,-250.84871,83.99564,11.573494,33.989124,2.4547951,2.5266402,-6.8224053,-8.615208,-9.438404,-4.509439,-14.231712,1.1508461,-7.89851
dataset\direita\Ana_direita_21.wav,direita,1.2,16000,0.07636461759868421,0.06774448,1469.4545967451284,-225.2642,100.13933,14.302122,26.687971,-9.865559,-2.683175,-8.175334,-4.8385015,-16.464972,0.540379,-14.669943,-1.3175994,-7.535147
dataset\direita\Ana_direita_22.wav,direita,1.2,16000,0.06771689967105263,0.03607151,1295.4247564010445,-349.37134,59.98201,14.870294,20.381634,4.009518,0.23652367,-11.451129,-4.7989254,-5.191855,-2.5361452,-12.644238,-2.3611546,-3.8636036
dataset\direita\Ana_direita_23.wav,direita,1.2,16000,0.07635176809210527,0.05029683,1481.4742372732346,-260.55447,82.77707,14.407591,27.526756,-7.432615,0.33095655,-10.945792,-9.460175,-8.018179,-5.217615,-3.9121804,0.05203403,-0.74610627
dataset\direita\Ana_direita_24.wav,direita,1.2,16000,0.09723221628289473,0.03971641,1687.5301241091886,-218.66394,95.82264,12.396252,18.58845,4.133034,2.5953703,-8.005785,-9.362619,-1.6619145,-1.5786389,-13.30332,2.6758463,-2.6747131
dataset\direita\Ana_direita_25.wav,direita,1.2,16000,0.053196957236842105,0.035509314,1225.195544696953,-326.83813,82.07693,14.639423,25.415678,2.9011285,10.402469,-4.1237416,-2.0832026,-1.933437,-3.4562535,-8.806994,1.7949018,-2.4356542
dataset\direita\Ana_direita_26.wav,direita,1.2,16000,0.06622635690789473,0.05290209,1177.0255202474175,-313.56775,91.735374,21.793419,26.431072,-4.552307,-0.3223372,-6.891632,-1.9432714,-7.670719,-3.4652562,-8.804239,-0.14127219,-3.336229
dataset\direita\Ana_direita_27.wav,direita,1.2,16000,0.07561934621710527,0.07850151,1547.293287381513,-207.4902,95.23343,13.985401,39.132355,-6.0709314,-3.551181,-11.480521,-19.092043,-5.8827653,-8.64283,-20.08755,3.7423112,-5.3777757
dataset\direita\Ana_direita_28.wav,direita,1.2,16000,0.053633840460526314,0.07195678,1158.1904099937594,-228.32515,115.17933,20.895964,44.154224,6.5845885,4.016381,-10.45653,-5.8175616,-10.26257,-3.544619,-3.596063,-0.5795769,-3.639355
dataset\direita\Ana_direita_29.wav,direita,1.2,16000,0.09423828125,0.05787249,1445.4321055442397,-262.3912,90.68061,17.6019,22.802109,4.5836368,3.6485403,-22.214859,1.011986,-7.08729,-9.444763,-2.34753,-2.5425167,-4.4105797
dataset\direita\Ana_direita_3.wav,direita,1.2,16000,0.12412623355263158,0.16217865,1700.9066442634683,-270.68655,59.726204,17.070177,35.622253,15.209576,-21.086563,-12.228769,-19.871216,-14.504369,-20.090723,-11.512714,-10.379077,-8.073069
dataset\direita\Ana_direita_30.wav,direita,1.2,16000,0.05399362664473684,0.07265363,1254.1492864065167,-279.14575,77.06571,15.068067,31.6052,-14.012942,-12.155144,-9.861155,-2.6572177,-8.706904,-9.363936,-2.0971355,-4.8432417,0.78151363
dataset\direita\Ana_direita_31.wav,direita,1.2,16000,0.07924290707236842,0.05200089,1536.525083562103,-216.25995,99.91454,15.200587,30.21713,-4.775055,8.619863,-15.352952,-5.511735,-16.221455,-0.55504566,-3.0605872,-2.921013,-1.82901
dataset\direita\Ana_direita_32.wav,direita,1.2,16000,0.08606599506578948,0.06948456,1286.1394547914515,-360.78397,54.716503,12.496214,33.806953,-7.2611938,-8.0596895,-4.5285807,2.2636719,-8.119824,-0.017073004,-16.53257,4.193946,1.3949984
dataset\direita\Ana_direita_33.wav,direita,1.2,16000,0.06139494243421053,0.08515487,1347.2440101022553,-263.18796,84.011055,16.316431,43.925346,-6.5019493,-7.3882117,-10.991415,-6.1356544,-10.206959,-9.115073,-7.043538,-2.5372639,-8.014953
dataset\direita\Ana_direita_34.wav,direita,1.2,16000,0.07366622121710527,0.042211756,1605.0929581414946,-251.5015,96.20293,17.88231,31.10366,12.135447,8.197665,-8.9125395,12.33335,-6.681404,-6.2664895,7.1391845,-6.1504707,-1.1308818
dataset\direita\Ana_direita_35.wav,direita,1.2,16000,0.102294921875,0.031718835,1739.7337145052873,-246.71074,92.019,1.177479,33.95115,-3.8124852,2.3096988,-20.804296,-3.253909,4.452524,-4.0209284,-10.422238,4.5431767,-7.379088
dataset\direita\Ana_direita_36.wav,direita,1.2,16000,0.09580592105263158,0.0544767,1381.8026752911371,-291.33023,81.82957,-11.593851,21.13056,-6.3467674,-14.914541,-8.87794,-4.4016023,-6.767012,-1.608487,-3.7341797,-6.898994,-3.4229214
dataset\direita\Ana_direita_37.wav,direita,1.2,16000,0.08839175575657894,0.051824156,1408.7730874832328,-297.89517,93.87879,16.261074,20.985247,-8.035172,2.8023953,-12.820162,-0.42677745,-17.362232,-7.5452027,-13.811936,0.70509166,-3.6481311
dataset\direita\Ana_direita_38.wav,direita,1.2,16000,0.05804122121710526,0.12642759,1315.1937726513297,-253.04718,84.086,19.090418,33.875786,-7.567648,8.736128,-15.59867,-8.813646,-4.0825534,-9.957456,-17.902159,-2.505532,-12.221162
dataset\direita\Ana_direita_39.wav,direita,1.2,16000,0.10283460115131579,0.067791,1316.2473965179145,-390.95703,67.22972,22.252516,16.11411,-2.77333,-8.559032,-32.11346,-6.9372315,-15.863196,-19.126987,-13.8415575,-14.756036,-13.398707
dataset\direita\Ana_direita_4.wav,direita,1.2,16000,0.09826017680921052,0.14336944,1514.2064769789133,-259.8865,75.080414,20.819908,50.58755,-13.548401,-9.339973,-1.3789103,-11.655099,-5.531073,-13.100082,-4.778513,-3.0586019,-6.003829
dataset\direita\Ana_direita_40.wav,direita,1.2,16000,0.06366930509868421,0.12833108,1105.3103725956569,-268.42566,84.991714,14.613838,-2.5473316,5.700495,-4.4854975,-6.4314756,-0.03646901,-11.85887,0.10043777,-14.221837,-8.939975,-1.9103305
dataset\direita\Ana_direita_41.wav,direita,1.2,16000,0.047928659539473686,0.02943447,775.0084352812381,-498.56274,76.329285,29.258474,29.481735,10.214632,-14.845311,-20.15746,-2.8992407,-4.032006,-11.157003,-10.215631,-1.1013436,-12.00408
